"","Club","Wages","Position"
"1","Manchester City",202,1
"2","Manchester United",162,2
"3","Arsenal",143,3
"4","Tottenham Hotspur",90,4
"5","Newcastle United",64,5
"6","Chelsea",173,6
"7","Everton",63,7
"8","Liverpool",119,8
"9","Fulham",62,9
"10","West Bromwich Albion",50,10
"11","Swansea City",35,11
"12","Norwich City",37,12
"13","Sunderland",64,13
"14","Stoke City",53,14
"15","Wigan Athletic",38,15
"16","Aston Villa",70,16
"17","Queens Park Rangers",58,17
"18","Bolton Wanderers",55,18
"19","Blackburn Rovers",50,19
"20","Wolverhampton Wanderers",38,20
